Country,Mar. 07 cases,Mar. 09 cases,Mar. 11 cases,Mar. 13 cases,Mar. 14 cases,Mar. 15 cases,Mar. 16 cases,Mar. 17 cases,Mar. 18 cases,Mar. 19 cases,Mar. 20 cases,Mar. 21 cases,Mar. 22 cases,Mar. 23 cases,Mar. 24 cases,Mar. 25 cases,Mar. 26 cases,Mar. 27 cases,Mar. 28 cases,Mar. 29 cases,Mar. 30 cases,,T.D. Mar. 07,T.D. Mar. 09,T.D. Mar. 11,T.D. Mar. 14,T.D. Mar. 15,T.D. Mar. 16,T.D. Mar. 17,T.D. Mar. 18,T.D. Mar. 19,T.D. Mar. 20,T.D. Mar. 21,T.D. Mar. 22,T.D. Mar. 23,T.D. Mar. 24,T.D. Mar. 25,T.D. Mar. 26,T.D. Mar. 27,T.D. Mar. 28,T.D. Mar. 29,T.D. Mar. 30,,T.Recov. Mar. 07,T.Recov. Mar. 09,T.Recov. Mar. 11,T.Recov. Mar. 14,T.Recov. Mar. 15,T.Recov. Mar. 16,T.Recov. Mar. 17,T.Recov. Mar. 19,T.Recov. Mar. 20,T.Recov. Mar. 21,T.Recov. Mar. 22,T.Recov. Mar. 23,T.Recov. Mar. 24,T.Recov. Mar. 25,T.Recov. Mar. 26,T.Recov. Mar. 27,T.Recov. Mar. 28,T.Recov. Mar. 29
UK,164,278,383,590,798,"1,140","1,391","1,543","1,950","2,626","3,269","3,983","5,018","5,683","6,650","8,077","9,529","11,658","14,543","17,089","19,522",,2,3,6,11,21,35,55,71,104,144,177,233,281,335,422,465,578,759,"1,019","1,019",,18,18,18,18,18,20,65,65,65,65,93,135,135,135,135,135,135,135
Ukraine,1,1,1,3,3,3,5,7,14,16,26,41,47,73,97,113,156,218,311,418,480,,0,0,0,1,1,1,1,2,2,3,3,3,3,3,4,5,5,8,9,9,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,5,5
Uruguay,0,0,0,0,4,6,8,29,50,79,94,110,135,158,162,189,217,238,274,304,304,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,335,554,"1,016","1,762","2,329","3,045","3,802","4,743","6,538","9,464","14,366","19,775","26,900","35,070","46,168","54,941","68,581","85,612","104,256","123,781","142,793",,17,22,31,50,60,69,93,116,155,217,276,348,458,582,784,"1,036","1,301","1,704","2,229","2,229",,15,15,15,41,56,73,106,108,125,147,178,178,295,379,428,"1,868","2,525","3,238"
Uzbekistan,0,0,0,0,0,1,6,10,15,23,33,37,42,46,50,55,65,83,104,133,149,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7
Vatican City,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,6,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0,0,0,0,2,10,17,33,36,36,42,65,70,77,84,91,106,107,113,119,119,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,,0,0,0,0,0,0,0,0,0,1,15,15,15,15,15,15,31,39
Vietnam,18,30,38,44,49,53,57,61,68,76,87,92,94,121,123,134,153,153,169,179,203,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,20,20,21
Zambia,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,12,12,16,22,28,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,5,7,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,"103,738","110,288","121,355","135,836","145,990","157,690","170,429","186,695","204,816","225,703","252,751","284,677","308,678","350,387","392,867","434,595","486,948","537,809","601,536","677,660","735,833",,"3,522","3,831","4,380","5,440","5,845","6,525","7,471","8,272","9,278","10,405","11,842","13,070","15,312","17,148","19,603","22,025","24,148","27,441","31,737","31,947",,"58,455","62,394","66,911","72,553","75,954","77,790","82,888","85,830","89,060","93,576","95,838","100,354","103,414","111,853","117,563","124,564","133,454","146,303"
